name,firstName,lastName,Email,Department,Region,Location,Inactive,Cost Center
Joe.Myers,Joe,Myers,Joe.Myers@demoexample.com,Information Technology,Europe,Brussels,FALSE,R01e, L01e
Jack.Sullivan,Jack,Sullivan,Jack.Sullivan@demoexample.com,Engineering,Europe,Brussels,FALSE,R01e, L01e
Heather.Wallace,Heather,Wallace,Heather.Wallace@demoexample.com,Engineering,Europe,Brussels,FALSE,R01e, L01e
Doris.Jordan,Doris,Jordan,Doris.Jordan@demoexample.com,Engineering,Europe,Brussels,FALSE,R01e, L01e
Justin.Owens,Justin,Owens,Justin.Owens@demoexample.com,Engineering,Europe,Brussels,FALSE,R01e, L01e
Gerald.Harrison,Gerald,Harrison,Gerald.Harrison@demoexample.com,Human Resources,Europe,Munich,FALSE,R01e, L02e
Jean.Gibson,Jean,Gibson,Jean.Gibson@demoexample.com,Human Resources,Europe,Munich,FALSE,R01e, L02e
Mildred.Ortiz,Mildred,Ortiz,Mildred.Ortiz@demoexample.com,Human Resources,Europe,Munich,FALSE,R01e, L02e
Willie.Gomez,Willie,Gomez,Willie.Gomez@demoexample.com,Human Resources,Europe,Munich,FALSE,R01e, L02e
Lawrence.Webb,Lawrence,Webb,Lawrence.Webb@demoexample.com,Inventory,Europe,Munich,FALSE,R01e, L02e
Ashley.Simpson,Ashley,Simpson,Ashley.Simpson@demoexample.com,Inventory,Europe,Munich,FALSE,R01e, L02e
Rose.Hunter,Rose,Hunter,Rose.Hunter@demoexample.com,Inventory,Europe,Munich,FALSE,R01e, L02e
Benjamin.Hicks,Benjamin,Hicks,Benjamin.Hicks@demoexample.com,Inventory,Europe,Munich,FALSE,R01e, L02e
Brandon.Mason,Brandon,Mason,Brandon.Mason@demoexample.com,Accounting,Europe,London,FALSE,R01e, L03e
Nicole.Morales,Nicole,Morales,Nicole.Morales@demoexample.com,Accounting,Europe,London,FALSE,R01e, L03e
Christina.Ramos,Christina,Ramos,Christina.Ramos@demoexample.com,Accounting,Europe,London,FALSE,R01e, L03e
Fred.Reyes,Fred,Reyes,Fred.Reyes@demoexample.com,Accounting,Europe,London,FALSE,R01e, L03e
Billy.Holmes,Billy,Holmes,Billy.Holmes@demoexample.com,Finance,Europe,London,FALSE,R01e, L03e
Beverly.Rice,Beverly,Rice,Beverly.Rice@demoexample.com,Finance,Europe,London,FALSE,R01e, L03e
Tammy.Daniels,Tammy,Daniels,Tammy.Daniels@demoexample.com,Finance,Europe,London,FALSE,R01e, L03e
Jeremy.Palmer,Jeremy,Palmer,Jeremy.Palmer@demoexample.com,Finance,Europe,London,FALSE,R01e, L03e
Ernest.Wagner,Ernest,Wagner,Ernest.Wagner@demoexample.com,Information Technology,Asia-Pacific,Singapore,FALSE,R02e, L04e
Jacqueline.Willis,Jacqueline,Willis,Jacqueline.Willis@demoexample.com,Information Technology,Asia-Pacific,Singapore,FALSE,R02e, L04e
Bonnie.Carroll,Bonnie,Carroll,Bonnie.Carroll@demoexample.com,Information Technology,Asia-Pacific,Singapore,FALSE,R02e, L04e
Jesse.Duncan,Jesse,Duncan,Jesse.Duncan@demoexample.com,Information Technology,Asia-Pacific,Singapore,FALSE,R02e, L04e
Alan.Bradley,Alan,Bradley,Alan.Bradley@demoexample.com,Engineering,Asia-Pacific,Singapore,FALSE,R02e, L04e
Lois.Lane,Lois,Lane,Lois.Lane@demoexample.com,Engineering,Asia-Pacific,Singapore,FALSE,R02e, L04e
Phyllis.Fox,Phyllis,Fox,Phyllis.Fox@demoexample.com,Engineering,Asia-Pacific,Singapore,FALSE,R02e, L04e
Sean.Riley,Sean,Riley,Sean.Riley@demoexample.com,Engineering,Asia-Pacific,Singapore,FALSE,R02e, L04e
Chris.Greene,Chris,Greene,Chris.Greene@demoexample.com,Human Resources,Asia-Pacific,Tokyo,FALSE,R02e, L05e
Diana.Lawrence,Diana,Lawrence,Diana.Lawrence@demoexample.com,Human Resources,Asia-Pacific,Tokyo,FALSE,R02e, L05e
Lillian.Austin,Lillian,Austin,Lillian.Austin@demoexample.com,Human Resources,Asia-Pacific,Tokyo,FALSE,R02e, L05e
Jimmy.Peters,Jimmy,Peters,Jimmy.Peters@demoexample.com,Human Resources,Asia-Pacific,Tokyo,FALSE,R02e, L05e
Danny.Fields,Danny,Fields,Danny.Fields@demoexample.com,Inventory,Asia-Pacific,Tokyo,FALSE,R02e, L05e
Peggy.Gutierrez,Peggy,Gutierrez,Peggy.Gutierrez@demoexample.com,Inventory,Asia-Pacific,Tokyo,FALSE,R02e, L05e
Gladys.Vasquez,Gladys,Vasquez,Gladys.Vasquez@demoexample.com,Inventory,Asia-Pacific,Tokyo,FALSE,R02e, L05e
Luis.Castillo,Luis,Castillo,Luis.Castillo@demoexample.com,Inventory,Asia-Pacific,Tokyo,FALSE,R02e, L05e
Stanley.Montgomery,Stanley,Montgomery,Stanley.Montgomery@demoexample.com,Accounting,Asia-Pacific,Taipei,FALSE,R02e, L06e
Connie.Richards,Connie,Richards,Connie.Richards@demoexample.com,Accounting,Asia-Pacific,Taipei,FALSE,R02e, L06e
Tracy.Meyer,Tracy,Meyer,Tracy.Meyer@demoexample.com,Accounting,Asia-Pacific,Taipei,FALSE,R02e, L06e
Dale.Bishop,Dale,Bishop,Dale.Bishop@demoexample.com,Accounting,Asia-Pacific,Taipei,FALSE,R02e, L06e
Rodney.Morrison,Rodney,Morrison,Rodney.Morrison@demoexample.com,Finance,Asia-Pacific,Taipei,FALSE,R02e, L06e
Carmen.Hansen,Carmen,Hansen,Carmen.Hansen@demoexample.com,Finance,Asia-Pacific,Taipei,FALSE,R02e, L06e
Cindy.Little,Cindy,Little,Cindy.Little@demoexample.com,Finance,Asia-Pacific,Taipei,FALSE,R02e, L06e
Allen.Burton,Allen,Burton,Allen.Burton@demoexample.com,Finance,Asia-Pacific,Taipei,FALSE,R02e, L06e
Joe.Contractor,Joe,Contractor,Joe.Contractor@demoexample.com,Finance,Asia-Pacific,Taipei,TRUE,R02e, L06e
